2015-03-19 18:34:12.215000:="te.py" �� ���� ����७��� ��� ���譥�
2015-03-20 10:49:16.335000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.335000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.336000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.336000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.336000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.337000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.337000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.337000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.338000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.338000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.338000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.339000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.339000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.339000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.340000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.340000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.340000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.341000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.341000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.341000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.342000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.342000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.342000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.343000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.343000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.343000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.344000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.344000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.344000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.345000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.345000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.345000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.346000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.346000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.346000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.347000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.347000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.347000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.347000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.348000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.348000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.348000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.349000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.349000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.349000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.350000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.350000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.350000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.351000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.351000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.351000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.352000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.352000:=Ключ не создан из за ошибки
2015-03-20 10:49:16.352000:=Ключ не создан из за ошибки
2015-03-20 13:15:48.979000:=Ключ не создан из за ошибки
2015-03-20 13:15:48.979000:=Ключ не создан из за ошибки
2015-03-20 13:15:48.980000:=Traceback (most recent call last):
2015-03-20 13:15:48.980000:=  File "D:\home\user\djcode\mysite\py.py", line 24, in <module>
2015-03-20 13:15:48.981000:=    f=open("list.txt","r")
2015-03-20 13:15:48.981000:=IOError: [Errno 2] No such file or directory: 'list.txt'
